Date,Open,High,Low,Close,Volume,Return_5Day,Distance_SMA200,Actual_Future_Return,Ticker
2021-06-07,98.82402348687636,103.38914457665153,98.6501152914262,102.71524810791016,18058790,,,0.052698365821286286,POWERGRID.NS
2021-06-08,103.88913782675196,103.88913782675196,100.88919641959181,101.75874328613281,22511761,,,0.05789376926584611,POWERGRID.NS
2021-06-09,102.60657202049923,106.73692036841874,101.65006793902587,105.25869750976562,39865778,,,0.00020642964561656818,POWERGRID.NS
2021-06-10,107.8238407885047,107.8238407885047,104.45434650098798,105.06303405761719,32690784,,,-0.0074489380517734904,POWERGRID.NS
2021-06-11,108.17165807626036,108.17165807626036,106.08474782707495,107.08472442626953,29142097,,,-0.05399923866162615,POWERGRID.NS
2021-06-14,107.80209376816914,108.60641986513345,105.25867401810694,108.128173828125,18732629,0.052698365821286286,,-0.05568945264431813,POWERGRID.NS
2021-06-15,108.93251277600218,109.3455499261362,107.41080565002373,107.64994049072266,15026686,0.05789376926584611,,-0.0547255035881562,POWERGRID.NS
2021-06-16,107.32386373121716,107.60645941558529,104.7586954928839,105.28042602539062,30706682,0.00020642964561656818,,-0.040883838010521645,POWERGRID.NS
2021-06-17,106.10646478914687,106.10646478914687,102.93262146882915,104.28042602539062,22261167,-0.0074489380517734904,,-0.036272472162481195,POWERGRID.NS
2021-06-18,106.084738473231,106.51951189489192,100.04138319455073,101.30223083496094,49278209,-0.05399923866162615,,-0.009227372489867713,POWERGRID.NS
2021-06-21,100.82399098074183,102.36743436363048,99.30228391147435,102.10657501220703,11719831,-0.05568945264431813,,-0.012774265983318212,POWERGRID.NS
2021-06-22,100.88919641959181,103.04132727307764,100.88919641959181,101.75874328613281,10961545,-0.0547255035881562,,0.008331632643115539,POWERGRID.NS
2021-06-23,102.49786522901952,102.60655859237166,100.86746477873771,100.97615814208984,10721151,-0.040883838010521645,,0.0006459316243332403,POWERGRID.NS
2021-06-24,100.97616328078645,101.28050707245745,99.17184863972543,100.49791717529297,12964208,-0.036272472162481195,,-0.0015143713062621966,POWERGRID.NS
2021-06-25,100.62834858317329,101.21528806760607,99.73706530185534,100.36747741699219,7736431,-0.009227372489867713,,-0.012562326278113378,POWERGRID.NS
2021-06-28,100.86745919635108,101.08484591102432,100.30225609699747,100.80223846435547,9989595,-0.012774265983318212,,-0.006685335562157002,POWERGRID.NS
2021-06-29,101.12832527750824,103.43263404183544,100.71529992728438,102.60655975341797,61089570,0.008331632643115539,,-0.030508563299143754,POWERGRID.NS
2021-06-30,103.106555800091,103.30220621864993,100.86746773188844,101.0413818359375,17437744,0.0006459316243332403,,-0.006239270366822036,POWERGRID.NS
2021-07-01,101.10657949399825,101.2804935786351,100.08486668021207,100.3457260131836,15924813,-0.0015143713062621966,,0.0015166681049214592,POWERGRID.NS
2021-07-02,100.34572796465649,100.47615763367878,98.95445064245608,99.10662841796875,9549992,-0.012562326278113378,,0.01008983453866108,POWERGRID.NS
2021-07-05,99.69356824690354,100.3892128079358,99.28053113160064,100.12834167480469,6849185,-0.006685335562157002,,-0.005644687276507132,POWERGRID.NS
2021-07-06,99.7370521620863,100.21529821276724,99.25879431742139,99.47618103027344,5343938,-0.030508563299143754,,-0.0006555180786318449,POWERGRID.NS
2021-07-07,99.47618967235952,100.62834406816351,99.47618967235952,100.41095733642578,7228897,-0.006239270366822036,,-0.004330120700718365,POWERGRID.NS
2021-07-08,100.0413955907938,101.36746412636136,99.80227253804706,100.49791717529297,8740010,0.0015166681049214592,,-0.0032447234810983883,POWERGRID.NS
2021-07-09,100.45441425798896,100.6283283337797,99.99790455151721,100.10659790039062,2990856,0.01008983453866108,,0.015635188685888757,POWERGRID.NS
2021-07-12,100.30226575841499,100.75877554440439,99.21533208035206,99.56314849853516,5578309,-0.005644687276507132,,0.018122304154478464,POWERGRID.NS
2021-07-13,100.17182609404227,100.82398623589437,99.25879481905893,99.41097259521484,8264289,-0.0006555180786318449,,0.011589643741229283,POWERGRID.NS
2021-07-14,99.41096273009771,100.6283258486189,99.32400569434985,99.97616577148438,9228746,-0.004330120700718365,,0.014351183555406655,POWERGRID.NS
2021-07-15,100.43268857092986,100.62833897839485,99.69357136160902,100.17182922363281,5376823,-0.0032447234810983883,,0.011284625828330563,POWERGRID.NS
2021-07-16,100.71529135553735,102.82393773137088,100.21529720341985,101.67178344726562,15903784,0.015635188685888757,,-0.004917710240273321,POWERGRID.NS
2021-07-19,101.67179414997986,102.01962235884201,100.6500812199063,101.36746215820312,13725925,0.018122304154478464,,-0.005575987420554318,POWERGRID.NS
2021-07-20,102.12830169444896,102.73697738836302,100.41094437657985,100.5631103515625,14178067,0.011589643741229283,,-0.013834753760865626,POWERGRID.NS
2021-07-22,101.95440895057168,101.95440895057168,99.43272501895062,101.41094207763672,10378326,0.014351183555406655,,-0.04308728432264641,POWERGRID.NS
2021-07-23,101.62831090120663,101.71526794433558,100.8891937255863,101.30223083496094,6660369,0.011284625828330563,,-0.02060102037327327,POWERGRID.NS
2021-07-26,101.49787111038351,102.32394524674241,100.88918366317351,101.17179107666016,12963701,-0.004917710240273321,,-0.020197742381693917,POWERGRID.NS
2021-07-27,101.30223262569756,102.10657054637899,100.28051978432696,100.80223846435547,10832912,-0.005575987420554318,,0.0032347006221677965,POWERGRID.NS
2021-07-28,100.86746568351857,101.04137978403587,98.86750660050144,99.17184448242188,13828088,-0.013834753760865626,,0.0244042228378758,POWERGRID.NS
2021-07-29,99.12832983108382,100.60656402861409,96.89649552409278,97.04141998291016,28609665,-0.04308728432264641,,0.04659507478843561,POWERGRID.NS
2021-07-30,97.99793234167441,100.40367517504048,97.50519146774185,99.21530151367188,34142169,-0.02060102037327327,,0.022494937846941676,POWERGRID.NS
2021-08-02,99.4181982787729,99.70804725334659,98.14286161125021,99.12834930419922,9575755,-0.020197742381693917,,0.0318713585543422,POWERGRID.NS
2021-08-03,100.0268868485672,101.56307699406345,99.18631773746209,101.12830352783203,20959435,0.0032347006221677965,,-0.010604757161570166,POWERGRID.NS
2021-08-04,101.82393779161178,102.37464607522047,100.78047686121397,101.59205627441406,23323277,0.0244042228378758,,0.0062767190497596825,POWERGRID.NS
2021-08-05,101.59206181856555,101.88191078238458,100.4326659632895,101.56307220458984,6621382,0.04659507478843561,,0.06735170888084685,POWERGRID.NS
2021-08-06,101.73699253627233,102.31669049944198,101.18628418885527,101.4471435546875,5340311,0.022494937846941676,,0.05571412241067075,POWERGRID.NS
2021-08-09,102.6065430762827,102.6065430762827,100.89643874260558,102.28770446777344,16415005,0.0318713585543422,,0.024085902838908435,POWERGRID.NS
2021-08-10,102.08480522368389,102.08480522368389,99.33123999928421,100.05586242675781,11925263,-0.010604757161570166,,0.06170343074646567,POWERGRID.NS
2021-08-11,100.25874587438578,102.60652705857379,100.02687615237832,102.22972106933594,31279965,0.0062767190497596825,,0.024099862576490105,POWERGRID.NS
2021-08-12,102.60653906837504,108.80930253175052,102.20075521338232,108.40351867675781,58107755,0.06735170888084685,,-0.04491976938580999,POWERGRID.NS
2021-08-13,106.78034358088853,108.5774164239216,106.43252721558592,107.09918212890625,26776843,0.05571412241067075,,-0.04925563325740445,POWERGRID.NS
