Date,Open,High,Low,Close,Volume,Return_5Day,Distance_SMA200,Actual_Future_Return,Ticker
2021-06-04,98.25882080807563,99.19358841957747,97.73709032244633,98.32403564453125,6142487,,,0.08910001980209081,POWERGRID.NS
2021-06-07,98.82403082724187,103.38915225610117,98.65012261887432,102.71525573730469,18058790,,,0.05269843618413428,POWERGRID.NS
2021-06-08,103.88913782675196,103.88913782675196,100.88919641959181,101.75874328613281,22511761,,,0.057893919216489786,POWERGRID.NS
2021-06-09,102.60654970901226,106.73689715880008,101.6500458355278,105.25867462158203,39865778,,,0.00020671961984475296,POWERGRID.NS
2021-06-10,107.82384861838159,107.82384861838159,104.45435408618127,105.06304168701172,32690784,,,-0.007448792276249616,POWERGRID.NS
2021-06-11,108.17164266259121,108.17164266259121,106.08473271077523,107.08470916748047,29142097,0.08910001980209081,,-0.05399903261707717,POWERGRID.NS
2021-06-14,107.80210898094256,108.60643519141145,105.25868887195907,108.12818908691406,18732629,0.05269843618413428,,-0.055689585903143435,POWERGRID.NS
2021-06-15,108.93252821658884,109.3455654252686,107.41082087491674,107.64995574951172,15026686,0.057893919216489786,,-0.054725637575616215,POWERGRID.NS
2021-06-16,107.32387150869422,107.60646721354134,104.75870308447,105.28043365478516,30706682,0.00020671961984475296,,-0.040883762580423366,POWERGRID.NS
2021-06-17,106.10648807812198,106.10648807812198,102.93264406118735,104.28044891357422,22261167,-0.007448792276249616,,-0.03627275685023834,POWERGRID.NS
2021-06-18,106.08474646281145,106.51951991721654,100.0413907289868,101.30223846435547,49278209,-0.05399903261707717,,-0.00922759773448889,POWERGRID.NS
2021-06-21,100.82399098074183,102.36743436363048,99.30228391147435,102.10657501220703,11719831,-0.055689585903143435,,-0.012774265983318212,POWERGRID.NS
2021-06-22,100.88919641959181,103.04132727307764,100.88919641959181,101.75874328613281,10961545,-0.054725637575616215,,0.008331632643115539,POWERGRID.NS
