Date,Open,High,Low,Close,Volume,Ticker
2025-05-29,315.45001220703125,318.29998779296875,312.0,313.75,519933,ATHERENERG.NS
2025-05-30,314.70001220703125,316.3999938964844,310.6000061035156,313.0,500622,ATHERENERG.NS
2025-06-02,313.0,319.8999938964844,301.0,318.1000061035156,948805,ATHERENERG.NS
2025-06-03,315.04998779296875,320.1000061035156,314.04998779296875,314.6000061035156,367988,ATHERENERG.NS
2025-06-04,315.0,316.1499938964844,306.0,307.20001220703125,786276,ATHERENERG.NS
2025-06-05,309.45001220703125,312.0,306.1499938964844,308.6499938964844,674193,ATHERENERG.NS
2025-06-06,309.54998779296875,311.95001220703125,307.20001220703125,309.0,497230,ATHERENERG.NS
2025-06-09,311.79998779296875,315.79998779296875,310.6000061035156,313.0,573621,ATHERENERG.NS
2025-06-10,314.45001220703125,326.25,314.1000061035156,319.54998779296875,1159695,ATHERENERG.NS
2025-06-11,320.1499938964844,321.95001220703125,310.1000061035156,311.8999938964844,507550,ATHERENERG.NS
2025-06-12,314.70001220703125,315.20001220703125,310.54998779296875,313.79998779296875,274552,ATHERENERG.NS
2025-06-13,311.0,316.95001220703125,306.25,314.0,804276,ATHERENERG.NS
2025-06-16,314.0,321.0,312.20001220703125,319.6000061035156,655597,ATHERENERG.NS
2025-06-17,320.0,323.79998779296875,318.3500061035156,320.95001220703125,970236,ATHERENERG.NS
2025-06-18,321.45001220703125,331.1499938964844,318.20001220703125,323.70001220703125,1629711,ATHERENERG.NS
2025-06-19,323.70001220703125,324.75,315.5,319.20001220703125,586070,ATHERENERG.NS
2025-06-20,318.1000061035156,321.5,314.1499938964844,320.6499938964844,292109,ATHERENERG.NS
2025-06-23,316.0,320.6499938964844,314.3999938964844,317.75,271172,ATHERENERG.NS
2025-06-24,319.0,322.1000061035156,315.75,320.04998779296875,396873,ATHERENERG.NS
2025-06-25,320.45001220703125,344.45001220703125,320.45001220703125,340.8999938964844,3776138,ATHERENERG.NS
2025-06-26,337.95001220703125,342.75,332.75,336.0,867691,ATHERENERG.NS
2025-06-27,336.0,341.95001220703125,331.3999938964844,332.6000061035156,595650,ATHERENERG.NS
2025-06-30,336.70001220703125,336.70001220703125,328.8500061035156,332.29998779296875,575980,ATHERENERG.NS
2025-07-01,334.0,343.20001220703125,329.0,332.8999938964844,887758,ATHERENERG.NS
